,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Margin of Error,±229,±100,±40,±40,±12,±155,±88,±67,±66,±250,±240,±157,±36
Census Tract 301.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,989",492,227,96,0,319,64,29,0,"1,178",478,254,110
    Margin of Error,±201,±120,±91,±64,±12,±151,±43,±33,±12,±182,±157,±92,±76
Census Tract 301.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,091",192,130,81,0,107,14,6,0,792,351,126,21
    Margin of Error,±148,±78,±68,±61,±12,±70,±16,±11,±12,±154,±92,±62,±23
Census Tract 301.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,043",180,71,16,0,207,65,24,11,656,374,270,38
    Margin of Error,±124,±61,±39,±19,±12,±78,±41,±25,±17,±147,±118,±105,±33
Census Tract 302; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,533",957,178,55,0,395,112,42,0,"1,181",365,128,44
    Margin of Error,±321,±209,±104,±45,±17,±125,±65,±39,±17,±330,±171,±93,±69
Census Tract 303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,470",330,94,19,0,199,0,0,0,941,373,106,0
    Margin of Error,±188,±106,±61,±23,±12,±121,±12,±12,±12,±189,±135,±72,±12
Census Tract 304; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,354",277,34,0,0,171,8,0,0,906,272,138,23
    Margin of Error,±109,±80,±36,±12,±12,±68,±14,±12,±12,±128,±103,±84,±26
Census Tract 305; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,021","1,307",181,74,0,324,39,23,0,"1,390",356,187,19
    Margin of Error,±289,±301,±115,±71,±17,±123,±43,±35,±17,±221,±165,±129,±33
Census Tract 306.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,908",315,169,33,0,210,106,80,0,"1,383",802,313,13
    Margin of Error,±266,±148,±86,±38,±12,±112,±78,±75,±12,±254,±251,±111,±20
Census Tract 306.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,342",112,46,0,0,42,0,0,0,"1,188",372,184,55
    Margin of Error,±139,±56,±32,±12,±12,±45,±12,±12,±12,±138,±122,±89,±60
Census Tract 306.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,058",246,81,19,0,280,80,16,0,"1,532",697,409,86
    Margin of Error,±211,±100,±78,±28,±12,±129,±63,±28,±12,±219,±213,±157,±66
Census Tract 307.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,894,155,49,0,0,36,0,0,0,703,322,189,31
    Margin of Error,±88,±55,±33,±12,±12,±23,±12,±12,±12,±93,±96,±74,±34
Census Tract 307.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,551",426,232,53,0,512,126,98,29,613,318,204,75
    Margin of Error,±196,±105,±96,±40,±12,±131,±75,±70,±46,±191,±112,±107,±37
Census Tract 307.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,885",379,56,0,0,146,40,10,0,"1,360",584,200,49
    Margin of Error,±270,±102,±38,±12,±12,±67,±32,±15,±12,±265,±147,±89,±41
Census Tract 307.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,918",337,51,4,0,376,178,24,0,"1,205",808,612,23
    Margin of Error,±220,±151,±47,±12,±12,±161,±128,±39,±12,±219,±167,±175,±38
Census Tract 308; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,190",657,144,63,0,256,46,46,0,"1,277",428,145,42
    Margin of Error,±252,±151,±92,±80,±12,±101,±46,±46,±12,±259,±159,±92,±40
Census Tract 309; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,576",531,100,60,0,133,9,0,0,912,368,164,0
    Margin of Error,±195,±120,±70,±61,±12,±64,±14,±12,±12,±209,±154,±80,±12
Census Tract 310; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,073",586,46,20,0,251,24,0,0,"1,236",461,156,0
    Margin of Error,±273,±140,±47,±36,±12,±139,±40,±12,±12,±274,±256,±121,±12
Census Tract 311; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,948",474,124,0,0,39,11,11,0,"2,435",826,437,131
    Margin of Error,±337,±179,±87,±12,±12,±56,±18,±18,±12,±382,±245,±210,±100
Census Tract 312; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,519",477,188,21,0,170,25,25,7,"2,872","1,522",832,249
    Margin of Error,±387,±197,±171,±33,±17,±103,±44,±44,±21,±390,±381,±257,±198
Census Tract 313; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,459",995,339,111,0,648,68,14,11,"2,816",973,642,208
    Margin of Error,±471,±352,±143,±81,±17,±239,±59,±23,±19,±470,±289,±267,±137
Census Tract 314; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,182",957,204,23,25,580,135,75,0,"1,645",788,216,53
    Margin of Error,±294,±170,±96,±36,±41,±145,±93,±79,±12,±317,±303,±137,±50
Census Tract 315.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,084",276,74,54,0,110,33,33,18,"1,698",794,297,105
    Margin of Error,±165,±128,±47,±41,±12,±71,±49,±49,±27,±184,±187,±116,±91
Census Tract 315.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,516",224,0,0,0,17,0,0,0,"2,275","1,031",551,226
    Margin of Error,±270,±137,±12,±12,±12,±27,±12,±12,±12,±315,±247,±185,±190
Census Tract 317; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,187",976,135,32,0,275,39,39,0,"1,936",731,352,14
    Margin of Error,±326,±275,±66,±36,±17,±134,±39,±39,±17,±267,±219,±165,±23
Census Tract 318; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,983,268,65,36,0,123,6,0,0,592,212,141,58
    Margin of Error,±117,±52,±37,±32,±12,±70,±9,±12,±12,±97,±72,±65,±53
Census Tract 319; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,385",394,68,19,0,104,48,25,0,887,341,68,0
    Margin of Error,±198,±95,±40,±19,±12,±57,±31,±29,±12,±197,±158,±42,±12
Census Tract 321; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,193",512,49,21,0,435,38,0,0,"3,246","1,192",554,0
    Margin of Error,±466,±211,±58,±36,±17,±345,±57,±17,±17,±422,±360,±213,±17
Census Tract 401; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,924",747,199,68,0,146,13,13,0,"1,031",451,274,51
    Margin of Error,±195,±152,±90,±50,±12,±63,±20,±20,±12,±188,±187,±138,±46
Census Tract 402.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,146","1,236",244,17,12,206,74,52,0,"1,704",668,257,59
    Margin of Error,±342,±300,±112,±21,±20,±153,±72,±67,±17,±320,±266,±162,±66
Census Tract 402.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,954",918,208,53,0,258,44,29,0,"1,778","1,151",644,62
    Margin of Error,±196,±202,±111,±41,±17,±124,±42,±34,±17,±265,±280,±227,±55
Census Tract 403; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,163",411,156,72,0,334,130,94,11,418,119,106,27
    Margin of Error,±100,±95,±79,±53,±12,±113,±81,±75,±18,±118,±79,±79,±35
Census Tract 404.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,524",601,226,140,0,306,38,12,0,617,189,97,10
    Margin of Error,±216,±154,±100,±92,±12,±133,±30,±18,±12,±158,±99,±79,±15
Census Tract 404.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,494",513,45,0,0,145,30,30,0,"1,836",502,209,35
    Margin of Error,±216,±155,±51,±12,±12,±91,±35,±35,±12,±248,±172,±96,±39
Census Tract 406; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,284",431,72,37,0,127,59,12,0,726,344,136,0
    Margin of Error,±168,±133,±39,±31,±12,±77,±66,±19,±12,±142,±116,±88,±12
Census Tract 407; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,693",563,120,39,0,167,29,0,0,963,291,210,44
    Margin of Error,±149,±110,±56,±32,±12,±66,±26,±12,±12,±152,±108,±95,±52
Census Tract 408; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,769,279,53,19,0,31,7,0,0,459,84,43,6
    Margin of Error,±116,±61,±30,±18,±12,±21,±11,±12,±12,±120,±43,±32,±9
