,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Margin of Error,±243,±108,±98,±77,±17,±64,±49,±49,±17,±244,±275,±283,±143
Census Tract 2519; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,418",374,165,111,19,140,6,0,0,"1,904",977,695,160
    Margin of Error,±241,±202,±88,±73,±31,±105,±12,±17,±17,±186,±248,±224,±105
Census Tract 2520; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,402",396,172,32,34,92,56,0,0,"1,914",922,522,234
    Margin of Error,±274,±200,±133,±44,±56,±81,±63,±17,±17,±311,±279,±216,±199
Census Tract 2521.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,728,85,44,5,0,136,38,5,0,507,243,163,45
    Margin of Error,±153,±43,±36,±8,±12,±127,±31,±8,±12,±86,±96,±88,±42
Census Tract 2521.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,247",563,185,92,0,256,50,0,0,"1,428",763,588,50
    Margin of Error,±297,±164,±117,±91,±17,±143,±80,±17,±17,±318,±301,±303,±81
Census Tract 2522.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,071",323,159,60,0,109,7,7,0,639,425,289,39
    Margin of Error,±154,±94,±87,±47,±12,±59,±12,±12,±12,±170,±135,±133,±39
Census Tract 2522.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,841",398,260,171,0,134,28,18,0,"1,309",636,335,169
    Margin of Error,±241,±224,±206,±196,±12,±84,±33,±28,±12,±206,±200,±130,±158
Census Tract 2601; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,647,60,30,6,0,17,6,6,11,570,280,122,0
    Margin of Error,±84,±46,±32,±10,±12,±19,±9,±9,±18,±72,±80,±59,±12
Census Tract 2602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,393,73,6,0,0,22,0,0,0,298,134,61,36
    Margin of Error,±95,±48,±9,±12,±12,±20,±12,±12,±12,±99,±87,±51,±26
Census Tract 2603; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,469,95,5,0,0,40,0,0,0,334,229,160,27
    Margin of Error,±130,±86,±9,±12,±12,±33,±12,±12,±12,±87,±83,±80,±27
Census Tract 2604; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,533,66,4,0,0,17,4,4,0,450,285,255,100
    Margin of Error,±105,±75,±7,±12,±12,±25,±6,±6,±12,±79,±88,±92,±4
Census Tract 2605; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,603,141,93,17,0,100,85,33,0,362,311,193,0
    Margin of Error,±100,±68,±62,±28,±12,±60,±60,±49,±12,±101,±90,±81,±12
Census Tract 2606; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,670,173,142,20,12,117,84,84,0,380,225,146,44
    Margin of Error,±124,±94,±89,±33,±19,±69,±59,±59,±12,±118,±102,±92,±48
Census Tract 2607; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,484,75,19,0,0,123,0,0,0,286,211,154,17
    Margin of Error,±137,±45,±29,±12,±12,±69,±12,±12,±12,±132,±132,±127,±24
Census Tract 2608; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,655,73,41,41,0,44,0,0,0,538,313,176,60
    Margin of Error,±96,±51,±34,±34,±12,±40,±12,±12,±12,±110,±123,±76,±42
Census Tract 2609; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,403,68,52,12,0,85,59,42,0,250,164,126,50
    Margin of Error,±96,±51,±49,±18,±12,±61,±56,±52,±12,±104,±97,±88,±51
Census Tract 2610; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,928,149,53,24,0,66,16,8,0,713,312,225,139
    Margin of Error,±243,±98,±40,±29,±12,±41,±17,±12,±12,±228,±162,±155,±180
Census Tract 2705; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,616,86,64,41,0,0,0,0,0,530,369,135,0
    Margin of Error,±108,±65,±63,±54,±12,±12,±12,±12,±12,±116,±119,±71,±12
Census Tract 2712; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,420,63,11,11,0,32,14,2,0,325,148,73,119
    Margin of Error,±50,±51,±16,±16,±12,±25,±18,±3,±12,±53,±58,±50,±49
Census Tract 2713; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,333,102,57,27,0,38,9,0,8,193,152,90,8
    Margin of Error,±71,±53,±39,±21,±12,±29,±16,±12,±10,±64,±62,±45,±10
Census Tract 2714; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,530,113,42,22,4,14,6,6,0,403,229,164,83
    Margin of Error,±89,±41,±30,±20,±6,±14,±10,±10,±12,±95,±78,±76,±77
Census Tract 2715; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,474,123,30,15,0,44,0,0,6,307,122,79,59
    Margin of Error,±90,±52,±30,±15,±12,±38,±12,±12,±10,±105,±66,±56,±33
Census Tract 2718; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,303,26,0,0,0,28,0,0,0,249,157,48,10
    Margin of Error,±63,±30,±12,±12,±12,±28,±12,±12,±12,±67,±80,±52,±15
Census Tract 2801; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"5,426","1,170",326,225,0,314,36,36,0,"3,942",833,268,153
    Margin of Error,±509,±234,±186,±181,±17,±211,±41,±41,±17,±534,±304,±169,±165
Census Tract 2804; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,561,40,7,0,0,8,0,0,0,513,229,72,16
    Margin of Error,±60,±30,±11,±12,±12,±13,±12,±12,±12,±65,±106,±52,±25
Census Tract 2808; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,432,99,0,0,12,29,0,0,0,304,184,111,0
    Margin of Error,±39,±50,±12,±12,±17,±30,±12,±12,±12,±67,±62,±62,±12
Census Tract 2809; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,402,113,9,9,0,32,0,0,0,257,87,30,11
    Margin of Error,±102,±96,±14,±14,±12,±31,±12,±12,±12,±64,±45,±25,±17
Census Tract 2819; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,296","1,171",220,60,0,86,0,0,0,"3,039",972,451,280
    Margin of Error,±462,±370,±208,±57,±17,±66,±17,±17,±17,±406,±317,±184,±264
Census Tract 2827; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,054",433,156,25,0,58,6,6,0,563,281,128,36
    Margin of Error,±104,±104,±91,±24,±12,±29,±10,±10,±12,±125,±102,±88,±39
Census Tract 2828; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,604,138,35,22,0,32,0,0,0,434,138,81,40
    Margin of Error,±92,±53,±31,±28,±12,±19,±12,±12,±12,±99,±55,±55,±37
Census Tract 2831; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,428",90,33,0,0,219,200,189,0,"1,119",512,298,92
    Margin of Error,±314,±53,±43,±12,±12,±299,±292,±291,±12,±162,±159,±150,±72
Census Tract 2832; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,823,162,68,19,0,60,0,0,0,601,320,168,54
    Margin of Error,±120,±65,±55,±25,±12,±56,±12,±12,±12,±124,±110,±96,±46
Census Tract 2838; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,609",555,226,73,0,144,10,10,0,910,294,167,22
    Margin of Error,±176,±127,±114,±72,±12,±58,±16,±16,±12,±189,±111,±84,±24
Census Tract 2909; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,302",49,10,10,0,184,21,21,0,"1,069",574,419,10
    Margin of Error,±188,±44,±13,±13,±12,±106,±42,±42,±12,±181,±176,±165,±17
Census Tract 2912; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,693,137,44,31,0,39,23,0,0,517,266,204,22
    Margin of Error,±137,±99,±39,±29,±12,±36,±27,±12,±12,±116,±102,±87,±35
Census Tract 2916; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,609,74,10,10,0,47,0,0,0,488,122,81,17
    Margin of Error,±367,±60,±14,±14,±12,±41,±12,±12,±12,±369,±65,±58,±18
Census Tract 2922; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,956,194,52,10,0,63,0,0,0,699,373,255,72
    Margin of Error,±166,±83,±48,±18,±12,±48,±12,±12,±12,±177,±137,±124,±69
Census Tract 2924; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,696,193,80,39,0,31,10,10,0,472,272,233,69
    Margin of Error,±169,±150,±77,±51,±12,±30,±17,±17,±12,±108,±104,±101,±65
Census Tract 2925; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,488",325,225,101,0,197,66,43,0,966,458,299,58
    Margin of Error,±249,±152,±138,±84,±12,±97,±62,±55,±12,±260,±143,±135,±66
Census Tract 3005; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,977,148,31,20,0,281,34,34,0,548,220,95,64
    Margin of Error,±143,±80,±35,±30,±12,±148,±50,±50,±12,±110,±93,±68,±72
Census Tract 3006; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,959,162,70,27,0,173,61,49,13,624,238,43,0
    Margin of Error,±262,±71,±62,±36,±12,±86,±42,±36,±20,±266,±135,±67,±12
Census Tract 3007; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,797",406,270,270,0,377,0,0,0,"1,014",523,91,89
    Margin of Error,±434,±364,±342,±342,±12,±171,±12,±12,±12,±368,±368,±80,±107
Census Tract 3008; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,246",135,36,36,0,48,25,25,0,"1,063",631,319,117
    Margin of Error,±165,±107,±50,±50,±12,±63,±39,±39,±12,±199,±219,±184,±116
Census Tract 3009; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,647",382,99,30,0,439,349,349,0,826,472,196,78
    Margin of Error,±574,±366,±105,±45,±12,±418,±430,±430,±12,±190,±187,±135,±70
Census Tract 3011; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,777,108,30,0,0,99,0,0,0,570,322,137,101
    Margin of Error,±96,±71,±41,±12,±12,±70,±12,±12,±12,±108,±96,±71,±59
Census Tract 3012; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,624",250,107,34,0,108,37,37,21,"1,266",661,172,136
    Margin of Error,±267,±161,±96,±52,±12,±84,±60,±60,±31,±305,±287,±113,±85
Census Tract 3016; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,493",301,144,77,42,542,280,0,21,650,552,292,31
    Margin of Error,±337,±138,±106,±74,±64,±365,±329,±12,±35,±231,±216,±164,±50
Census Tract 3017.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,456",492,159,99,0,255,51,51,0,709,327,149,0
    Margin of Error,±212,±238,±116,±98,±12,±121,±60,±60,±12,±204,±130,±110,±12
Census Tract 3017.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,242",205,46,33,0,289,74,25,0,748,100,23,0
    Margin of Error,±315,±99,±53,±47,±12,±145,±70,±38,±12,±330,±102,±37,±12
Census Tract 3018.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,209",335,186,138,0,217,0,0,0,657,226,82,0
    Margin of Error,±252,±125,±104,±98,±12,±105,±12,±12,±12,±285,±149,±105,±12
Census Tract 3018.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,945,177,100,58,0,174,38,0,21,594,418,249,0
    Margin of Error,±126,±101,±80,±61,±12,±92,±58,±12,±31,±132,±144,±115,±12
Census Tract 3018.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,179",147,0,0,0,316,38,38,0,716,344,66,30
    Margin of Error,±132,±91,±12,±12,±12,±100,±26,±26,±12,±156,±122,±54,±49
Census Tract 3102; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,792,165,33,25,0,147,33,10,0,480,152,53,13
    Margin of Error,±113,±68,±26,±25,±12,±56,±26,±14,±12,±116,±53,±38,±19
Census Tract 3103; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,794,218,125,40,0,45,8,8,0,531,217,153,9
    Margin of Error,±89,±79,±67,±42,±12,±36,±14,±14,±12,±99,±85,±64,±10
Census Tract 3104; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,679,231,43,12,0,82,45,45,0,366,148,76,11
    Margin of Error,±128,±92,±32,±12,±12,±63,±57,±57,±12,±113,±71,±44,±17
Census Tract 3105; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,683,80,75,75,0,73,22,22,0,530,157,82,0
    Margin of Error,±119,±70,±70,±70,±12,±64,±35,±35,±12,±123,±87,±47,±12
Census Tract 3106; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,523",506,195,152,0,158,0,0,0,"1,859",502,250,0
    Margin of Error,±248,±195,±146,±131,±17,±129,±17,±17,±17,±301,±206,±167,±17
Census Tract 3107; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,618,88,33,2,0,29,0,0,0,501,247,133,21
    Margin of Error,±116,±48,±25,±3,±12,±35,±12,±12,±12,±132,±119,±105,±23
Census Tract 3108; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,756",195,89,17,0,337,20,0,0,"1,224",488,288,90
    Margin of Error,±279,±112,±86,±25,±12,±150,±31,±12,±12,±290,±153,±135,±55
Census Tract 3109; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,887",513,144,106,0,227,15,15,0,"1,147",409,238,50
    Margin of Error,±225,±182,±118,±99,±17,±123,±23,±23,±17,±167,±155,±127,±54
Census Tract 3201.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"5,481","1,353",463,172,0,702,0,0,0,"3,426","1,262",900,0
    Margin of Error,±669,±537,±393,±178,±17,±343,±17,±17,±17,±640,±521,±523,±17
Census Tract 3201.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,748",389,123,0,60,237,19,19,0,"2,122",937,353,113
    Margin of Error,±239,±237,±142,±17,±92,±106,±31,±31,±17,±271,±262,±225,±139
Census Tract 3204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,844,248,82,23,0,282,74,22,4,314,191,111,48
    Margin of Error,±155,±59,±33,±17,±12,±151,±42,±24,±7,±70,±68,±72,±42
Census Tract 3206; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,752",987,289,118,22,347,0,0,0,"2,418",917,449,134
    Margin of Error,±276,±280,±147,±98,±36,±180,±17,±17,±17,±322,±247,±195,±106
Census Tract 3301.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,709","1,343",513,133,0,634,189,36,21,732,66,0,40
    Margin of Error,±676,±460,±428,±131,±17,±307,±254,±56,±39,±551,±94,±17,±65
Census Tract 3301.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"6,366","1,769",969,330,0,563,0,0,0,"4,034","1,547",618,56
    Margin of Error,±619,±612,±451,±366,±19,±359,±19,±19,±19,±616,±469,±279,±103
Census Tract 3301.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,902","2,059",304,0,0,354,0,0,0,"2,489",834,566,248
    Margin of Error,±480,±508,±217,±17,±17,±235,±17,±17,±17,±543,±473,±440,±225
Census Tract 3302; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,784","1,018",237,108,15,171,12,12,0,595,227,88,17
    Margin of Error,±222,±206,±85,±62,±25,±81,±20,±20,±12,±138,±97,±57,±28
Census Tract 3403; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,716,165,80,34,0,138,31,6,0,413,196,75,10
    Margin of Error,±108,±51,±39,±23,±12,±47,±23,±9,±12,±106,±86,±53,±15
Census Tract 3404; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,700,89,63,22,0,185,63,42,0,426,229,152,54
    Margin of Error,±52,±39,±32,±14,±12,±62,±44,±41,±12,±70,±72,±74,±41
Census Tract 3405; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,971,145,35,13,0,216,6,6,0,610,195,98,30
    Margin of Error,±152,±53,±27,±18,±12,±135,±10,±10,±12,±92,±91,±52,±28
Census Tract 3406; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,494,0,0,0,0,13,13,0,0,481,178,111,19
    Margin of Error,±104,±12,±12,±12,±12,±20,±20,±12,±12,±104,±95,±73,±29
Census Tract 3501; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,484",0,0,0,0,0,0,0,0,"1,484",669,326,48
    Margin of Error,±168,±12,±12,±12,±12,±12,±12,±12,±12,±168,±211,±108,±60
Census Tract 3504; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,652,0,0,0,0,15,15,15,0,637,244,150,43
    Margin of Error,±126,±12,±12,±12,±12,±23,±23,±23,±12,±123,±73,±67,±34
Census Tract 3510; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,479",80,0,0,0,140,9,9,11,"2,259",941,541,144
    Margin of Error,±254,±74,±12,±12,±12,±146,±21,±21,±21,±312,±242,±227,±140
Census Tract 3511; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,075",23,5,5,0,7,0,0,0,"1,045",469,259,124
    Margin of Error,±181,±22,±9,±9,±12,±14,±12,±12,±12,±181,±129,±118,±50
Census Tract 3514; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,795,51,16,7,15,13,13,0,0,731,261,112,185
    Margin of Error,±244,±35,±17,±10,±23,±20,±20,±12,±12,±248,±78,±57,±241
Census Tract 3515; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,382,29,10,0,0,7,0,0,0,346,148,105,31
    Margin of Error,±59,±23,±16,±12,±12,±12,±12,±12,±12,±62,±40,±35,±34
Census Tract 3602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,809,52,34,25,0,2,0,0,0,755,358,163,48
    Margin of Error,±120,±45,±35,±32,±12,±8,±12,±12,±12,±132,±134,±108,±45
Census Tract 3801; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,049",491,125,0,0,33,33,0,0,525,299,191,0
    Margin of Error,±188,±182,±94,±12,±12,±40,±40,±12,±12,±139,±134,±110,±12
Census Tract 3802; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,212",180,70,58,0,35,0,0,25,997,550,302,12
    Margin of Error,±262,±63,±24,±14,±12,±36,±12,±12,±36,±266,±249,±253,±19
Census Tract 3806; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,087",410,146,46,0,145,0,0,0,"1,532",808,475,60
    Margin of Error,±208,±176,±91,±41,±17,±80,±17,±17,±17,±307,±269,±221,±79
Census Tract 3812; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,096",247,155,38,0,101,22,22,0,748,332,198,72
    Margin of Error,±165,±88,±66,±60,±12,±70,±17,±17,±12,±136,±150,±101,±75
Census Tract 3814; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,732,131,62,46,0,30,0,0,0,571,296,148,108
    Margin of Error,±109,±74,±44,±43,±12,±31,±12,±12,±12,±121,±120,±67,±103
Census Tract 3815; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,421,67,10,0,0,8,0,0,0,346,268,193,26
    Margin of Error,±90,±56,±20,±12,±12,±13,±12,±12,±12,±83,±87,±47,±21
Census Tract 3817; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0
    Margin of Error,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12
Census Tract 3818; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,773,164,21,15,26,39,19,19,0,570,239,81,50
    Margin of Error,±186,±56,±20,±18,±33,±37,±31,±31,±12,±183,±122,±43,±44
Census Tract 3819; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,521,160,139,29,0,162,18,18,0,199,94,45,46
    Margin of Error,±94,±84,±82,±34,±12,±97,±19,±19,±12,±63,±48,±30,±42
Census Tract 3901; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,798,331,142,30,0,54,0,0,0,413,328,82,5
    Margin of Error,±209,±90,±59,±20,±12,±47,±12,±12,±12,±210,±207,±38,±9
Census Tract 3902; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,908,528,159,73,5,64,15,5,0,316,123,86,0
    Margin of Error,±151,±112,±91,±58,±9,±31,±12,±7,±12,±133,±106,±100,±12
Census Tract 3903; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,540",103,0,0,0,117,0,0,0,"1,320",472,266,84
    Margin of Error,±215,±57,±12,±12,±12,±132,±12,±12,±12,±185,±132,±79,±86
Census Tract 3904; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,482",285,39,0,7,97,29,29,34,"1,100",484,212,105
    Margin of Error,±143,±105,±39,±12,±11,±66,±33,±33,±38,±150,±171,±127,±84
Census Tract 3905; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,866,162,39,29,0,89,13,9,0,615,279,154,41
    Margin of Error,±111,±58,±27,±24,±12,±34,±15,±13,±12,±117,±113,±94,±36
Census Tract 3906; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,877,226,80,23,0,119,31,23,0,532,203,103,0
    Margin of Error,±192,±45,±37,±14,±12,±49,±32,±31,±12,±194,±58,±39,±12
Census Tract 3907; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,474",601,248,100,0,935,255,114,51,"1,938","1,066",698,93
    Margin of Error,±458,±250,±136,±83,±17,±261,±149,±122,±83,±397,±323,±264,±86
Census Tract 4003; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,602,129,45,0,0,17,0,0,0,456,213,111,0
    Margin of Error,±99,±83,±53,±12,±12,±26,±12,±12,±12,±65,±80,±64,±12
Census Tract 4004; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,896,132,48,25,0,0,0,0,0,764,369,303,91
    Margin of Error,±165,±67,±45,±31,±12,±12,±12,±12,±12,±175,±170,±160,±114
Census Tract 4005; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,204",89,53,46,0,72,0,0,0,"1,043",633,438,83
    Margin of Error,±245,±69,±51,±54,±12,±57,±12,±12,±12,±252,±242,±170,±86
Census Tract 4008; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,328",0,0,0,0,22,0,0,0,"1,306",733,419,234
    Margin of Error,±157,±12,±12,±12,±12,±26,±12,±12,±12,±158,±202,±182,±178
Census Tract 4101; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,428",113,58,0,0,119,26,18,0,"1,196",682,238,20
    Margin of Error,±223,±60,±49,±12,±12,±53,±25,±21,±12,±233,±209,±154,±21
Census Tract 4102; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,725,92,33,0,0,54,0,0,0,579,314,197,28
    Margin of Error,±118,±58,±38,±12,±12,±50,±12,±12,±12,±113,±103,±97,±33
Census Tract 4105; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,692",418,89,26,0,153,7,7,0,"1,121",585,411,29
    Margin of Error,±118,±116,±62,±42,±12,±93,±12,±12,±12,±173,±155,±146,±35
Census Tract 4106; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,158",169,55,55,0,162,12,0,13,827,490,311,116
    Margin of Error,±231,±76,±50,±50,±12,±77,±18,±12,±19,±242,±188,±179,±123
Census Tract 4107; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,236",250,88,51,0,139,11,11,0,847,504,313,50
    Margin of Error,±121,±76,±59,±50,±12,±57,±18,±18,±12,±113,±131,±120,±41
Census Tract 4108; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,646",300,40,15,0,216,25,10,19,"1,130",425,225,93
    Margin of Error,±228,±122,±30,±17,±12,±85,±29,±15,±21,±221,±140,±110,±57
Census Tract 4109; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,958",469,78,41,0,285,74,42,0,"1,204",650,388,48
    Margin of Error,±161,±168,±48,±37,±12,±115,±50,±35,±12,±185,±159,±159,±31
Census Tract 4110; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,454",278,111,15,0,691,124,35,0,"1,485",621,195,284
    Margin of Error,±424,±156,±75,±28,±12,±218,±108,±43,±12,±398,±221,±110,±324
Census Tract 4111; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,976,271,71,59,6,212,21,6,0,493,260,133,19
    Margin of Error,±134,±91,±46,±45,±9,±51,±22,±9,±12,±107,±109,±50,±19
Census Tract 4112; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,799,244,35,9,0,205,15,15,7,350,198,123,7
    Margin of Error,±145,±130,±19,±10,±12,±62,±15,±15,±10,±67,±57,±53,±11
Census Tract 4201; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,823,35,25,7,0,0,0,0,0,788,365,244,31
    Margin of Error,±128,±17,±15,±11,±12,±12,±12,±12,±12,±128,±96,±88,±30
Census Tract 4202; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,689,73,24,24,0,39,0,0,0,577,320,187,40
    Margin of Error,±92,±39,±22,±22,±12,±29,±12,±12,±12,±100,±88,±72,±37
Census Tract 4203; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,663,101,39,20,0,47,8,8,0,515,332,245,15
    Margin of Error,±87,±44,±28,±17,±12,±34,±13,±13,±12,±92,±93,±87,±15
Census Tract 4204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,720,82,32,32,0,6,2,2,0,632,297,121,33
    Margin of Error,±90,±53,±26,±26,±12,±8,±4,±4,±12,±93,±73,±44,±40
Census Tract 4205; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,015",70,65,19,0,147,4,0,0,798,375,195,23
    Margin of Error,±185,±74,±74,±36,±12,±142,±7,±12,±12,±146,±115,±73,±36
Census Tract 4206; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,989,65,18,18,0,39,21,0,0,885,268,136,105
    Margin of Error,±147,±61,±20,±20,±12,±37,±24,±12,±12,±152,±119,±80,±71
Census Tract 4207; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,168",195,140,112,0,167,88,88,0,806,388,249,140
    Margin of Error,±201,±114,±93,±94,±12,±97,±66,±66,±12,±185,±140,±122,±107
Census Tract 4208; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,016",101,42,20,0,82,38,19,0,833,366,178,64
    Margin of Error,±181,±65,±35,±24,±12,±50,±35,±29,±12,±179,±132,±82,±58
Census Tract 4212; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,699,116,60,19,4,54,0,0,0,529,369,115,37
    Margin of Error,±232,±50,±35,±20,±6,±45,±12,±12,±12,±234,±231,±71,±43
Census Tract 4301.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,878",118,65,40,0,190,84,44,0,"1,570",933,538,112
    Margin of Error,±171,±78,±69,±61,±12,±111,±82,±59,±12,±199,±210,±197,±143
Census Tract 4301.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,369",465,64,9,0,56,0,0,0,"1,848",526,438,149
    Margin of Error,±483,±224,±80,±14,±12,±57,±12,±12,±12,±456,±163,±157,±109
Census Tract 4302; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,719",414,217,146,0,135,29,29,0,"2,170","1,058",343,236
    Margin of Error,±389,±194,±169,±146,±17,±90,±47,±47,±17,±384,±293,±223,±213
Census Tract 4303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,039",167,118,87,0,43,0,0,0,829,369,295,0
