GEOID,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
60967,0,0,0,0,0,0,0,0,0,0,0,0,0
60968,201,76,18,0,9,98,7,0,0,27,13,2,9
60969,27,11,2,0,0,13,0,0,0,3,0,0,0
60970,2675,981,311,177,2,887,111,40,27,807,363,139,87
60973,119,59,9,6,0,37,4,1,0,23,8,2,0
60974,131,47,3,0,0,52,2,2,0,32,6,6,3
61001,576,263,117,59,0,229,29,0,0,84,56,44,9
61006,622,224,34,14,0,216,27,5,0,182,33,28,3
61007,161,76,38,38,0,73,23,23,0,12,12,0,0
61008,12826,6247,1529,677,50,3861,329,226,37,2718,1187,444,141
61010,2810,1533,322,101,0,744,126,92,0,533,145,83,113
61011,993,591,78,43,0,356,54,53,0,46,16,0,10
61012,737,410,95,47,0,211,4,0,0,116,39,26,34
61013,335,165,45,22,0,146,11,6,1,24,5,5,3
61014,481,189,10,8,0,235,28,1,0,57,0,0,6
61015,299,225,14,0,0,59,7,5,0,15,0,0,15
61016,2091,1162,259,65,0,716,74,7,8,213,59,16,19
61018,419,141,10,7,0,185,21,10,0,93,17,11,24
61019,1309,585,112,21,0,515,16,3,0,209,67,20,79
61020,1037,660,98,47,0,275,31,24,12,102,5,0,6
61021,9010,3731,863,268,0,2825,289,136,17,2454,869,430,109
61024,926,433,78,5,0,292,37,24,3,201,69,27,34
61025,2123,1101,188,43,3,707,56,18,0,315,110,33,66
61027,19,11,0,0,0,8,8,0,0,0,0,0,0
61028,815,364,88,24,2,304,27,2,0,147,64,33,10
61030,791,382,81,39,0,273,17,11,0,136,23,6,9
61031,603,205,41,33,0,228,19,17,0,170,38,27,10
61032,13407,4280,940,501,5,4374,583,315,43,4753,1821,844,375
61036,3469,1661,431,121,5,1102,62,20,0,706,301,181,19
61037,48,9,0,0,0,39,0,0,0,0,0,0,0
61038,448,313,114,88,0,112,0,0,0,23,23,23,0
61039,310,137,13,11,0,94,1,1,0,79,21,15,7
61041,646,198,56,36,0,260,30,10,5,188,134,62,4
61042,170,37,7,7,0,97,2,1,0,36,1,1,7
61043,56,29,14,8,0,17,0,0,0,10,6,0,0
61044,113,54,5,0,0,59,0,0,5,0,0,0,0
61046,1134,481,117,63,3,496,33,22,5,157,30,25,16
61047,660,302,55,33,0,284,71,43,8,74,15,8,31
61048,1648,807,180,67,0,600,32,18,4,241,57,17,10
61049,194,76,10,2,0,58,0,0,0,60,16,14,6
61050,104,65,0,0,0,39,11,5,0,0,0,0,0
61051,637,235,55,19,0,290,38,10,0,112,15,12,6
61052,438,220,40,5,0,173,1,0,0,45,12,4,1
61053,1186,511,107,54,16,441,65,48,8,234,74,16,14
61054,1732,640,206,149,0,527,130,84,0,565,171,37,44
61057,16,16,0,0,0,0,0,0,0,0,0,0,0
61059,74,26,1,0,0,21,0,0,0,27,1,1,0
61060,599,326,83,12,8,195,34,11,5,78,15,2,0
61061,3036,1031,154,82,12,1221,89,25,9,784,224,105,33
61062,686,336,120,69,0,233,24,16,5,117,31,2,33
61063,1704,796,96,43,0,641,90,23,0,267,35,0,49
61064,1660,660,117,52,0,467,58,36,0,533,130,73,86
61065,3479,2212,479,257,0,1008,154,39,10,259,111,81,51
61067,244,86,14,0,0,129,23,2,0,29,7,5,1
61068,5860,2210,243,83,0,1433,183,104,26,2217,902,358,106
61070,509,210,47,34,0,246,2,1,0,53,25,17,0
61071,5842,2625,441,179,8,1748,234,103,8,1469,689,281,73
61072,4275,2197,279,46,0,1357,129,53,0,721,307,147,51
61073,7172,4017,684,314,14,1746,185,64,40,1409,521,150,101
61074,2040,547,164,32,6,809,144,124,46,684,301,80,98
61075,447,191,55,12,0,196,27,20,6,60,10,1,15
61077,51,51,0,0,0,0,0,0,0,0,0,0,0
61078,525,246,40,0,4,205,39,13,2,74,15,4,8
61079,98,27,6,6,0,57,7,1,0,14,0,0,3
61080,4561,1750,338,90,0,1532,164,132,20,1279,281,192,49
61081,8926,3431,392,174,5,2866,282,106,103,2629,1170,506,200
61084,1269,673,157,53,0,436,27,0,0,160,11,0,33
61085,1343,660,170,23,0,370,49,12,0,313,100,43,65
61087,684,356,46,22,5,278,43,29,3,50,16,12,3
61088,2314,1268,272,66,0,769,35,23,6,277,122,46,43
61089,252,115,25,19,8,65,17,16,0,72,19,3,3
61091,0,0,0,0,0,0,0,0,0,0,0,0,0
61101,7969,2079,597,289,41,1956,316,140,13,3934,2092,1273,254
61102,6409,1737,397,102,17,2124,440,160,27,2548,1350,834,196
61103,10046,3260,632,364,15,1802,167,46,12,4984,2468,1432,278
61104,7752,1248,424,131,12,1624,292,20,24,4880,2552,1577,319
61107,12717,5345,947,443,0,3515,276,126,43,3857,1524,943,162
61108,11855,4529,1004,320,0,3264,250,90,0,4062,1659,968,413
61109,11031,3897,948,434,5,2995,251,124,23,4139,1805,749,274
61111,9846,3715,1014,516,9,2375,273,172,18,3756,1416,847,118
61112,47,0,0,0,0,0,0,0,0,47,47,38,0
61114,6349,2760,624,265,0,1770,203,90,14,1819,578,299,89
61115,8427,4723,803,272,6,2041,214,70,25,1663,626,156,65
61201,15844,5810,1207,393,60,4214,473,233,73,5820,2576,1369,699
61230,395,156,37,19,4,192,16,2,0,47,7,7,2
61231,2082,824,146,77,0,638,65,27,34,620,201,78,8
61232,680,422,114,72,0,192,10,0,0,66,20,16,14
61233,107,42,2,0,0,37,8,0,0,28,8,0,0
61234,511,216,52,22,0,187,19,6,0,108,11,4,9
61235,658,239,37,12,0,282,20,5,8,137,34,10,11
61236,17,6,3,0,0,9,2,0,0,2,0,0,0
61237,0,0,0,0,0,0,0,0,0,0,0,0,0
61238,1052,568,117,21,0,377,29,23,5,107,50,35,8
61239,485,76,25,3,0,62,23,8,3,347,197,82,18
61240,2364,1303,220,78,0,910,64,0,0,151,23,13,15
61241,2690,1478,182,73,0,834,107,62,13,378,17,0,0
61242,493,251,17,5,0,189,19,1,0,53,26,10,5
61243,74,52,15,0,0,11,2,0,0,11,0,0,10
61244,9202,3408,325,91,8,2773,245,104,85,3021,1191,720,449
61250,1204,503,40,14,0,440,59,20,0,261,57,18,108
61251,154,101,35,12,23,35,0,0,0,18,0,0,8
61252,2411,1104,163,77,0,846,118,22,9,461,261,47,88
61254,4928,2370,322,120,0,1673,194,67,0,885,368,158,112
61256,875,463,70,43,0,267,34,15,0,145,66,15,9
61257,358,146,33,0,0,148,17,14,2,64,34,32,0
61258,67,45,11,9,0,16,0,0,0,6,3,3,0
61259,505,252,60,0,0,235,20,9,0,18,0,0,18
61260,306,116,46,34,4,96,2,2,0,94,48,5,14
61261,305,95,28,8,0,146,8,2,0,64,19,10,23
61262,390,137,68,6,0,214,43,37,0,39,0,0,12
61263,277,137,23,18,0,79,6,3,2,61,36,12,21
61264,4673,2029,264,70,0,1708,57,21,25,936,405,191,112
61265,18860,7447,1651,771,27,5079,422,231,45,6334,2750,1551,312
61270,2731,1155,165,35,0,1112,155,93,0,464,89,33,88
61272,554,278,82,17,0,215,12,0,0,61,2,0,9
61273,1121,547,47,22,0,394,37,10,2,180,62,30,9
61274,91,34,10,0,0,57,9,0,0,0,0,0,0
61275,1713,932,158,60,0,516,73,43,0,265,70,40,39
61276,14,7,0,0,0,7,0,0,0,0,0,0,0
61277,1101,476,57,35,0,378,31,17,4,247,76,21,42
61278,286,121,35,23,0,151,38,35,0,14,0,0,3
61279,369,213,32,0,0,133,11,0,0,23,5,2,5
61281,1023,637,86,44,0,309,16,7,0,77,19,19,4
61282,4154,1303,235,87,0,994,191,144,16,1857,603,112,180
61283,464,161,30,16,0,232,29,1,15,71,7,0,12
61284,854,413,84,54,0,351,14,6,0,90,0,0,9
61285,738,300,35,24,0,306,35,10,0,132,64,11,14
61301,4437,1338,366,163,15,1582,256,202,6,1517,591,307,90
61310,1476,584,115,33,0,574,82,48,0,318,118,28,37
61311,104,54,9,0,0,33,24,8,0,17,0,0,0
61312,190,79,17,13,0,81,22,7,6,30,11,2,7
61313,129,57,2,2,0,52,5,3,0,20,9,9,11
61314,314,128,34,16,0,126,27,15,0,60,2,0,11
61315,110,16,6,6,0,49,5,3,0,45,16,14,6
61316,87,40,10,0,0,31,5,5,0,16,5,0,0
61317,225,113,21,8,0,79,6,4,0,33,21,12,0
61318,220,90,24,6,0,83,0,0,0,47,7,5,16
61319,544,283,55,33,0,206,52,36,0,55,5,5,2
61320,287,134,26,10,0,111,9,2,0,42,15,6,10
61321,98,29,12,8,0,32,0,0,0,37,5,1,31
61322,591,143,15,3,0,286,34,4,8,162,63,34,16
61323,66,35,2,0,0,20,0,0,0,11,0,0,4
61324,46,19,9,0,0,13,0,0,0,14,0,0,14
61325,433,248,58,5,0,144,12,10,4,41,10,0,20
61326,896,324,12,12,8,362,15,12,0,210,64,32,17
61327,524,257,35,26,0,198,14,4,0,69,31,9,2
61328,34,34,0,0,0,0,0,0,0,0,0,0,0
61329,539,253,31,18,0,170,17,6,13,116,29,4,3
61330,500,241,35,17,0,155,14,9,0,104,25,12,17
61331,0,0,0,0,0,0,0,0,0,0,0,0,0
61332,65,35,2,1,0,22,1,0,0,8,7,4,0
61333,101,40,11,9,0,56,9,1,0,5,0,0,2
61334,251,129,17,8,1,83,1,0,0,39,12,4,7
61335,122,48,1,0,2,52,2,0,0,22,4,0,0
61336,226,122,15,11,0,42,5,2,0,62,8,0,23
61337,202,117,16,7,0,56,3,3,1,29,4,2,10
61338,149,52,10,2,0,65,0,0,0,32,21,3,0
61340,244,103,5,0,0,80,15,4,0,61,18,12,0
61341,2882,1355,229,85,5,817,58,29,6,710,239,80,95
61342,3450,1260,206,51,0,1159,105,74,10,1031,306,159,97
61344,124,40,2,0,0,72,6,5,0,12,9,6,1
61345,328,135,33,18,0,163,14,6,0,30,5,4,18
61346,33,15,6,0,0,13,0,0,4,5,0,0,1
61348,2021,748,84,73,19,737,39,0,0,536,203,123,11
61349,408,196,20,10,0,152,19,14,3,60,31,11,14
61350,9748,4581,1100,545,0,2564,330,223,13,2603,1065,467,152
61353,450,215,64,13,4,122,18,12,0,113,35,20,8
61354,4578,1574,306,169,0,1875,130,68,22,1129,292,145,87
61356,4630,1995,276,99,6,1519,290,183,36,1116,394,169,138
61358,174,69,10,6,0,91,7,0,0,14,2,0,4
61359,172,85,2,2,0,60,4,2,1,27,24,1,0
61360,1275,510,79,33,0,484,5,5,0,281,72,34,12
61361,540,288,29,5,0,159,22,6,0,93,44,30,6
61362,2388,741,97,41,0,796,81,31,8,851,211,34,75
61363,150,52,10,1,0,65,1,0,2,33,11,7,9
61364,8315,2495,353,154,7,3175,322,186,56,2645,819,463,206
61367,328,97,25,13,0,83,6,5,2,148,42,30,3
61368,558,247,32,12,0,192,40,17,2,119,15,4,32
61369,582,228,39,24,4,239,19,7,3,115,33,12,9
61370,504,226,26,8,0,199,21,11,2,79,16,0,16
61371,27,0,0,0,0,27,0,0,0,0,0,0,0
61372,81,31,3,1,0,40,0,0,0,10,5,4,3
61373,784,413,104,14,0,304,33,10,6,67,22,15,14
61374,27,17,4,0,0,4,0,0,0,6,6,0,0
61375,498,242,38,26,0,227,4,3,2,29,7,3,1
61376,932,436,59,11,0,283,57,12,0,213,95,92,33
61377,695,196,60,38,0,304,3,3,3,195,74,42,31
61378,206,78,3,3,0,62,12,5,0,66,8,7,37
61379,589,280,56,29,0,194,10,5,0,115,53,17,0
61401,13513,4152,859,419,11,4307,646,353,127,5054,2493,1513,287
61402,0,0,0,0,0,0,0,0,0,0,0,0,0
61410,1623,622,59,6,47,529,70,0,0,472,262,130,0
61411,100,52,6,6,0,26,0,0,0,22,22,0,0
61412,533,279,40,16,0,199,27,12,0,55,11,11,6
61413,442,162,11,3,0,231,15,0,0,49,21,6,3
61414,341,103,19,16,0,223,34,5,0,15,0,0,0
61415,766,261,63,38,9,392,37,5,0,113,9,2,15
61416,124,34,10,1,0,80,20,20,0,10,5,5,1
61417,81,35,0,0,0,46,0,0,14,0,0,0,0
61418,278,104,15,10,0,137,3,1,1,37,13,13,15
61419,68,19,2,2,0,38,7,2,0,11,6,0,2
61420,431,187,48,14,0,172,17,6,8,72,27,16,0
61421,522,199,87,7,0,214,14,8,4,109,30,16,8
61422,1284,456,35,0,0,435,55,39,0,393,104,60,84
61423,305,129,39,10,0,89,9,0,0,87,30,30,0
61424,9,0,0,0,0,9,0,0,0,0,0,0,0
61425,225,65,0,0,0,128,9,4,0,32,0,0,27
61426,27,9,0,0,0,18,0,0,0,0,0,0,0
61427,880,287,32,3,29,435,20,19,0,158,65,31,45
61428,486,203,39,26,0,255,21,1,2,28,3,3,6
61430,327,128,19,12,0,142,14,0,3,57,13,13,3
61431,133,62,7,4,0,60,14,10,0,11,0,0,8
61432,263,126,26,15,0,108,24,7,0,29,0,0,14
61433,9,9,9,0,0,0,0,0,0,0,0,0,0
61434,1224,468,89,40,0,505,96,44,6,251,97,50,8
61435,51,14,0,0,0,12,0,0,0,25,0,0,0
61436,359,169,15,4,0,141,3,3,0,49,10,10,23
61437,237,102,28,22,0,81,0,0,3,54,4,0,0
61438,307,116,30,0,0,157,40,34,0,34,14,5,6
61439,108,46,10,3,0,34,2,2,2,28,6,6,0
61440,318,133,28,4,0,147,10,0,8,38,30,27,0
61441,356,140,40,8,0,147,20,20,3,69,27,0,11
61442,274,94,10,3,0,138,24,3,12,42,11,3,0
61443,5870,1758,335,111,31,2463,291,101,29,1649,625,276,217
61447,423,177,26,3,0,201,14,5,0,45,17,12,13
61448,1618,863,110,47,77,549,42,11,11,206,148,88,8
61449,185,77,16,10,0,97,16,0,2,11,0,0,4
61450,758,291,38,9,0,320,51,35,5,147,24,24,13
61451,87,53,28,0,0,15,12,12,0,19,11,11,0
61452,90,40,19,19,0,44,17,16,0,6,0,0,0
61453,281,98,7,2,0,128,9,8,0,55,22,2,0
61454,180,52,13,0,0,95,3,3,0,33,12,5,5
61455,7583,2105,457,220,18,1881,147,84,2,3597,1779,1268,221
61458,321,91,15,13,0,167,26,2,0,63,0,0,11
61459,126,47,10,8,0,78,0,0,3,1,0,0,0
61460,60,33,8,2,0,21,2,2,0,6,0,0,3
61462,4184,1708,312,129,42,1495,163,105,0,981,218,23,134
61465,531,207,41,15,0,265,13,0,0,59,26,12,10
61466,115,77,12,10,0,38,0,0,0,0,0,0,0
61467,436,205,52,0,0,157,22,2,0,74,17,12,3
61468,58,58,18,18,0,0,0,0,0,0,0,0,0
61469,879,267,32,16,0,525,52,21,0,87,37,6,3
61470,202,114,44,27,0,66,20,11,0,22,2,0,9
61471,51,27,2,2,0,20,0,0,0,4,4,4,0
61472,182,103,25,11,0,60,5,0,0,19,8,5,0
61473,555,180,19,0,0,212,8,8,0,163,27,6,50
61474,124,33,6,2,0,68,14,0,0,23,0,0,23
61475,114,44,8,0,0,57,0,0,0,13,0,0,0
61476,246,95,20,7,0,128,2,2,0,23,3,0,9
61477,200,42,1,1,0,155,29,17,0,3,0,0,3
61478,142,114,0,0,0,28,0,0,0,0,0,0,0
61479,32,14,5,5,0,18,0,0,0,0,0,0,0
61480,516,212,46,39,0,184,11,0,0,120,32,18,31
61482,219,79,17,9,2,110,8,7,0,30,13,10,12
61483,756,330,50,13,0,263,17,10,0,163,71,59,9
61484,328,115,22,0,0,152,34,0,0,61,9,0,21
61485,135,57,12,7,0,65,2,1,0,13,6,5,3
61486,588,357,101,32,0,179,23,16,11,52,10,4,0
61488,544,228,31,2,6,212,10,5,3,104,24,0,13
61489,299,149,32,18,0,135,4,2,0,15,3,0,4
61490,490,182,46,46,2,187,20,9,0,121,18,4,24
61491,983,345,57,13,0,401,57,26,7,237,82,17,57
61501,743,281,29,11,10,293,61,37,3,169,17,11,3
61516,304,187,24,5,0,109,2,0,0,8,2,2,1
61517,1152,528,111,84,0,448,47,21,25,176,13,11,0
61519,101,32,9,3,0,42,1,0,0,27,19,5,0
61520,6496,2367,465,142,15,2374,283,67,1,1755,718,229,245
61523,4430,2260,271,44,0,1430,151,52,0,740,336,64,39
61524,154,76,15,14,0,68,1,0,0,10,1,0,3
61525,4054,2674,399,128,15,921,61,26,0,459,149,41,20
61526,332,145,11,0,0,178,24,0,0,9,0,0,0
61528,1098,739,99,13,0,294,0,0,15,65,24,24,21
61529,1039,476,49,26,0,342,12,5,0,221,113,73,8
61530,2584,882,218,166,0,925,38,0,13,777,340,31,78
61531,1222,522,147,8,4,458,16,9,0,242,76,44,54
61532,194,54,11,2,0,85,21,17,0,55,40,2,5
61533,912,484,139,37,0,292,37,0,9,136,76,59,20
61534,719,331,84,12,0,219,27,0,21,169,16,10,6
61535,650,478,41,16,0,160,22,0,0,12,0,0,12
61536,1566,740,135,21,0,521,31,22,14,305,135,77,44
61537,1100,353,61,40,0,438,41,16,8,309,73,28,34
61539,67,27,3,2,0,22,1,0,2,18,0,0,9
61540,1175,463,47,13,0,501,32,12,16,211,91,52,6
61541,61,25,3,3,0,17,4,4,0,19,11,0,0
61542,1547,706,150,96,0,474,22,1,9,367,87,24,61
61543,42,9,3,2,0,19,0,0,0,14,5,2,9
61544,292,131,25,14,0,115,10,4,0,46,15,8,10
61545,358,218,119,4,19,121,22,13,19,19,11,8,4
61546,1571,811,123,48,0,571,40,18,5,189,65,51,45
61547,1390,883,129,18,0,470,31,20,36,37,11,3,5
61548,4498,2335,337,222,0,1787,93,46,3,376,137,40,54
61550,7438,3104,536,213,11,2851,415,124,33,1483,479,299,159
61552,78,10,10,0,0,68,9,0,0,0,0,0,0
61553,92,34,1,1,0,44,10,3,0,14,0,0,3
61554,17298,7674,1568,612,55,4693,392,213,71,4931,1642,725,321
61559,1438,651,226,28,0,574,55,13,15,213,128,103,4
61560,324,132,29,9,11,172,13,13,10,20,17,17,0
61561,906,419,65,22,13,306,71,20,0,181,17,16,65
61562,22,0,0,0,0,22,0,0,0,0,0,0,0
61563,243,106,24,15,0,125,17,5,0,12,2,2,4
61564,377,165,9,1,0,139,12,8,0,73,24,17,6
61565,573,256,72,26,0,217,44,36,0,100,9,1,42
61567,247,112,39,5,0,93,5,0,0,42,25,5,9
61568,1705,701,142,27,0,573,40,21,0,431,139,40,0
61569,434,220,14,14,0,168,9,9,41,46,35,0,0
61570,671,314,79,26,0,227,20,1,0,130,23,6,11
61571,9690,4900,808,372,0,2887,300,111,0,1903,773,485,204
61572,403,174,31,11,2,160,7,5,2,69,19,2,1
61602,694,45,16,0,0,74,10,0,16,575,249,166,138
61603,6801,1878,616,304,0,1749,403,165,4,3174,1574,964,205
61604,11964,4817,1176,604,30,3333,392,209,147,3814,1703,952,393
61605,5867,828,283,101,15,1472,294,145,81,3567,1738,1176,454
61606,2502,707,177,96,0,351,29,0,0,1444,946,716,58
61607,4526,2188,399,136,0,1686,185,59,8,652,223,90,81
61610,2242,951,264,152,0,886,0,0,32,405,114,73,15
61611,10108,4796,998,386,28,3190,264,134,51,2122,1034,666,159
61614,13044,5246,1410,513,0,3261,381,83,23,4537,1972,1110,251
61615,10825,4009,547,216,14,2577,223,62,13,4239,1242,743,318
61616,2832,892,165,84,0,956,120,55,9,984,248,189,55
61625,14,0,0,0,0,0,0,0,0,14,14,14,0
61701,16281,5806,1046,401,147,3412,254,80,149,7063,2614,1403,811
61704,15573,6215,1049,426,53,4096,467,255,79,5262,1351,531,343
61705,5067,2819,604,310,9,1248,83,74,12,1000,492,310,219
61720,116,68,8,4,3,31,2,1,0,17,6,6,9
61721,212,59,13,6,0,135,6,2,4,18,1,0,1
61722,232,82,7,3,0,106,13,5,5,44,9,5,8
61723,951,479,74,20,0,289,28,17,0,183,19,2,44
61724,178,108,7,1,0,58,2,2,1,12,3,3,3
61725,574,341,18,6,0,194,19,14,0,39,6,3,4
61726,1072,454,52,22,20,338,65,34,11,280,26,9,27
61727,4020,1546,269,179,0,1265,185,131,0,1209,260,93,111
61728,492,251,36,14,1,145,11,0,0,96,11,6,8
61729,382,216,61,28,0,113,27,16,0,53,5,1,3
61730,147,77,9,0,0,20,0,0,1,50,27,0,3
61731,57,18,7,7,0,28,4,0,0,11,0,0,0
61732,779,511,111,6,5,182,33,6,0,86,60,24,13
61733,390,204,46,27,0,112,3,2,0,74,12,12,3
61734,962,469,100,52,0,318,24,15,9,175,37,9,34
61735,155,101,17,10,0,47,1,1,0,7,0,0,1
61736,963,466,93,7,0,380,106,49,4,117,24,7,33
61737,177,116,12,4,9,43,7,3,0,18,9,1,8
61738,1596,842,128,52,0,462,39,27,27,292,116,57,22
61739,1847,730,77,0,0,578,65,14,22,539,181,53,48
61740,579,227,49,22,0,279,29,11,0,73,26,10,21
61741,647,338,3,3,0,210,42,31,6,99,15,5,8
61742,523,270,46,25,0,205,43,38,0,48,8,0,0
61743,64,22,0,0,0,23,0,0,0,19,2,2,0
61744,783,326,71,4,14,279,27,12,0,178,39,11,35
61745,1584,804,122,38,50,544,55,17,4,236,43,4,19
61747,594,349,88,58,0,118,9,0,0,127,58,55,19
61748,958,573,22,10,0,372,25,3,0,13,7,0,0
61749,358,92,5,2,1,229,0,0,3,37,14,6,21
61750,40,4,0,0,0,0,0,0,0,36,28,0,0
61751,32,17,0,0,0,15,0,0,4,0,0,0,0
61752,1788,1121,258,53,25,389,18,5,4,278,65,12,15
61753,1242,522,87,53,0,560,22,18,0,160,39,0,8
61754,447,229,36,13,0,144,5,2,0,74,18,18,1
61755,1808,1025,153,83,0,480,49,26,0,303,77,44,29
61756,956,479,51,23,3,271,6,6,0,206,66,31,13
61759,506,267,61,13,0,172,30,21,0,67,34,9,0
61760,969,340,86,31,0,315,14,0,12,314,57,30,24
61761,19933,7060,1005,377,18,3986,377,128,71,8887,4079,2535,1353
61764,5556,2194,561,242,0,1623,137,83,9,1739,513,193,140
61769,239,128,25,7,1,103,6,3,0,8,4,0,1
61770,381,167,47,38,9,136,17,17,0,78,18,0,16
61771,348,205,42,7,2,128,16,2,0,15,5,5,2
61772,59,25,0,0,0,18,0,0,0,16,6,6,0
61773,126,62,13,7,0,37,3,2,0,27,16,6,5
61774,340,156,19,6,0,133,19,9,9,51,2,2,2
61775,125,31,3,3,0,77,49,0,0,17,9,7,1
61776,485,285,21,17,0,151,16,7,0,49,7,3,30
61777,405,155,7,2,0,183,12,1,0,67,6,0,2
61778,215,91,18,16,0,113,14,6,0,11,7,0,4
61801,11200,1846,189,82,83,1572,98,27,6,7782,3856,2529,1040
61802,9228,2610,617,294,0,2534,355,241,27,4084,1944,853,194
61810,98,29,5,0,0,47,4,2,0,22,7,3,8
61811,286,102,31,8,0,126,20,0,0,58,8,0,3
61812,102,47,14,0,0,49,2,2,0,6,0,0,0
61813,741,310,47,9,0,294,19,10,3,137,15,11,21
61814,518,153,27,0,0,292,16,14,0,73,37,22,15
61815,130,37,10,6,0,54,5,4,0,39,15,0,0
61816,150,53,13,9,0,72,3,2,0,25,12,12,6
61817,1122,493,70,49,7,341,36,9,5,288,111,10,10
61818,625,297,36,27,3,211,13,10,0,117,20,7,51
61820,15379,1708,296,93,0,1374,163,100,22,12297,6098,4345,2067
61821,12433,4810,850,435,0,2887,293,165,9,4736,2276,999,356
61822,11394,4730,950,392,0,3051,197,131,17,3613,1092,671,211
61830,179,52,14,2,0,87,6,2,0,40,22,1,12
61831,96,24,9,6,2,72,5,0,2,0,0,0,0
61832,13757,2963,655,279,28,5147,517,321,55,5647,2253,1079,422
61833,924,279,62,8,0,363,61,31,0,282,94,62,20
61834,2523,954,185,90,5,1228,85,18,10,341,91,52,55
61839,245,125,26,10,0,61,5,4,0,59,30,9,0
61840,221,82,0,0,0,129,9,0,0,10,0,0,10
61841,464,188,26,7,0,210,20,0,0,66,18,12,13
61842,1018,529,84,47,0,372,64,18,0,117,43,38,11
61843,746,411,59,12,0,255,0,0,4,80,16,9,0
61844,397,193,46,10,0,161,18,2,0,43,22,16,11
61845,104,37,1,1,0,37,1,1,0,30,0,0,28
61846,1889,581,93,43,23,823,116,23,13,485,119,28,51
61847,497,250,32,10,0,188,16,0,11,59,7,0,25
61848,91,39,3,0,0,32,0,0,0,20,10,0,5
61849,748,374,83,23,13,270,13,2,0,104,55,41,0
61850,177,77,22,0,0,90,8,2,0,10,2,0,2
61851,148,66,26,18,0,67,4,1,1,15,2,0,5
61852,94,5,0,0,0,84,1,0,1,5,0,0,1
61853,5008,2997,331,105,0,1199,178,34,21,812,380,195,111
61854,581,243,29,5,5,242,6,0,0,96,27,12,26
61855,30,19,13,8,0,8,4,0,0,3,0,0,0
61856,3329,1789,439,119,15,1085,119,28,0,455,229,139,22
61857,70,25,8,0,0,41,0,0,0,4,4,0,0
61858,1147,345,77,43,0,531,69,54,0,271,111,64,53
61859,449,215,16,4,0,196,12,9,0,38,17,3,0
61862,201,81,15,8,2,93,5,0,0,27,0,0,6
61863,332,212,28,11,0,93,5,2,2,27,9,5,5
61864,553,345,46,28,0,141,10,0,0,67,3,0,9
61865,459,167,22,8,0,235,17,5,3,57,13,8,8
61866,5458,1701,560,406,7,1106,181,145,8,2651,1009,306,81
61870,485,137,14,1,0,239,33,8,4,109,37,15,1
61871,138,52,8,2,0,64,0,0,0,22,4,0,1
61872,276,106,27,4,2,155,19,13,0,15,7,0,3
61873,2209,1150,195,90,5,745,108,94,0,314,86,19,38
61874,3414,1317,138,28,13,656,69,34,0,1441,523,308,24
61875,329,175,12,12,0,94,3,0,0,60,17,17,0
61876,290,115,11,9,0,151,25,4,0,24,8,6,8
61877,442,238,22,8,2,147,10,2,0,57,15,10,12
61878,522,235,28,10,0,194,39,17,3,93,19,8,12
61880,1780,729,23,0,0,628,18,0,0,423,215,33,8
61882,266,117,16,9,0,115,11,10,1,34,3,0,17
61883,1907,583,81,45,0,770,96,29,12,554,96,61,59
61884,452,298,57,0,0,135,10,10,0,19,0,0,0
61910,1532,661,144,22,0,530,47,35,7,341,135,33,61
61911,1719,496,57,25,0,792,127,75,0,431,63,29,88
61912,548,208,24,5,0,269,47,8,0,71,38,10,0
61913,546,222,49,8,3,245,11,3,7,79,51,13,2
61914,822,346,62,20,0,288,97,41,0,188,39,5,28
61917,180,58,13,0,0,114,7,1,0,8,1,0,7
61919,307,161,39,25,0,105,5,4,1,41,5,5,9
61920,8625,2268,393,77,0,2326,370,207,43,4031,1945,1101,162
61924,822,285,16,13,0,288,31,4,7,249,63,16,26
61925,437,156,6,0,32,182,0,0,0,99,11,11,6
61928,296,68,12,10,0,160,24,9,3,68,0,0,1
61929,329,139,21,2,0,136,20,16,0,54,10,5,8
61930,270,98,22,5,0,151,9,1,0,21,5,4,5
61931,474,161,6,2,0,202,3,1,2,111,34,30,2
61932,241,62,3,1,0,102,13,12,0,77,7,7,13
61933,469,170,32,13,0,156,11,5,0,143,45,3,18
61936,53,13,0,0,0,32,10,10,0,8,0,0,0
61937,749,292,35,27,0,230,6,6,3,227,80,49,25
61938,9330,3010,527,125,11,2700,448,234,36,3620,1128,391,289
61940,126,21,4,4,0,61,0,0,0,44,0,0,1
61941,61,0,0,0,0,61,0,0,0,0,0,0,0
61942,480,188,36,17,0,245,11,4,3,47,9,6,14
61943,726,253,15,5,5,322,22,3,6,151,50,7,44
61944,5512,1979,315,77,53,2008,215,101,0,1525,420,120,154
61949,75,37,4,2,0,30,2,2,0,8,5,1,0
61951,2993,1189,160,45,0,1243,69,16,0,561,218,72,40
61953,2735,1314,193,36,0,799,164,92,0,622,147,103,28
61955,65,22,6,6,0,34,6,0,2,9,2,2,0
61956,1277,628,85,11,19,369,41,24,0,280,125,79,9
61957,760,336,73,17,7,298,5,0,0,126,21,3,13
