GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60033,60033,ZCTA5 60033,4954,346,1842,289,471,146,223,110,11,19,1741,280,198,102,71,69,21,30,1371,223,622,205,349,211,76,49
860Z200US60034,60034,ZCTA5 60034,739,133,350,101,71,33,15,10,0,12,192,62,14,11,6,7,6,9,197,68,54,35,20,24,6,9
860Z200US60035,60035,ZCTA5 60035,11765,439,6727,446,2090,390,852,194,50,82,3124,337,682,171,413,132,0,26,1914,271,1016,192,329,117,167,86
860Z200US60040,60040,ZCTA5 60040,1937,175,538,162,84,47,44,35,0,17,411,153,36,33,10,15,26,43,988,205,445,158,237,143,85,72
860Z200US60041,60041,ZCTA5 60041,3533,550,1802,463,398,164,74,59,0,17,904,249,134,97,17,27,36,42,827,316,342,238,236,211,159,132
860Z200US60042,60042,ZCTA5 60042,3107,237,1735,212,517,162,121,67,0,17,805,207,90,92,12,18,0,17,567,152,307,140,144,108,11,15
860Z200US60043,60043,ZCTA5 60043,776,66,485,55,76,29,42,17,0,12,261,51,50,21,37,20,16,21,30,16,9,10,9,10,4,7
860Z200US60044,60044,ZCTA5 60044,4284,279,1909,182,468,110,151,63,12,18,1044,188,146,58,50,29,0,19,1331,277,642,166,291,123,51,64
860Z200US60045,60045,ZCTA5 60045,7497,302,3895,295,1163,230,434,122,45,69,2789,368,365,115,235,98,5,9,813,183,374,120,211,101,105,62
860Z200US60046,60046,ZCTA5 60046,12070,419,7181,478,1491,200,418,130,0,26,2708,274,425,124,194,90,4,7,2181,331,757,179,397,146,66,65
860Z200US60047,60047,ZCTA5 60047,15356,372,9528,367,2195,343,959,197,0,26,4171,435,433,131,209,90,32,31,1657,304,693,270,325,135,136,74
860Z200US60048,60048,ZCTA5 60048,10448,311,5974,301,1258,224,416,124,12,16,2813,291,449,141,240,96,17,20,1661,231,687,139,275,100,77,47
860Z200US60050,60050,ZCTA5 60050,13068,608,6739,505,1767,284,706,197,0,26,2979,317,430,159,150,66,0,26,3350,344,1635,287,639,199,149,73
860Z200US60051,60051,ZCTA5 60051,9618,505,5540,391,1220,271,423,188,21,27,2553,370,371,125,235,115,23,26,1525,412,758,268,373,201,77,46
